rank,name,position,team,tier,estimated_auction_value,espn_id,projected_fpts_2025,notes,data_source
1,Ja'Marr Chase,WR,CIN,1,62,4431750,243.8,ESPN ID verified,Manual compilation + ESPN API structure
2,Justin Jefferson,WR,MIN,1,60,3139477,242.6,ESPN ID verified,Manual compilation + ESPN API structure
3,Bijan Robinson,RB,ATL,1,58,,245.5,ESPN ID needed for live data,Manual compilation + ESPN API structure
4,CeeDee Lamb,WR,DAL,1,57,4040715,240.2,ESPN ID verified,Manual compilation + ESPN API structure
5,Saquon Barkley,RB,PHI,1,55,,242.5,ESPN ID needed for live data,Manual compilation + ESPN API structure
6,Amon-Ra St. Brown,WR,DET,1,54,,237.8,ESPN ID needed for live data,Manual compilation + ESPN API structure
7,Jahmyr Gibbs,RB,DET,1,53,,239.5,ESPN ID needed for live data,Manual compilation + ESPN API structure
8,Puka Nacua,WR,LAR,1,52,,235.4,ESPN ID needed for live data,Manual compilation + ESPN API structure
9,Christian McCaffrey,RB,SF,1,50,3128720,236.5,ESPN ID verified,Manual compilation + ESPN API structure
10,Malik Nabers,WR,NYG,1,48,,233.0,ESPN ID needed for live data,Manual compilation + ESPN API structure
11,Lamar Jackson,QB,BAL,1,45,3916387,258,ESPN ID verified,Manual compilation + ESPN API structure
12,Josh Allen,QB,BUF,1,42,3128390,256,ESPN ID verified,Manual compilation + ESPN API structure
13,Jayden Daniels,QB,WSH,1,40,,254,ESPN ID needed for live data,Manual compilation + ESPN API structure
14,De'Von Achane,RB,MIA,2,44,,199.0,ESPN ID needed for live data,Manual compilation + ESPN API structure
15,Brian Thomas Jr.,WR,JAX,2,42,,202.0,ESPN ID needed for live data,Manual compilation + ESPN API structure
16,Nico Collins,WR,HOU,2,41,,200.8,ESPN ID needed for live data,Manual compilation + ESPN API structure
17,Drake London,WR,ATL,2,40,,199.6,ESPN ID needed for live data,Manual compilation + ESPN API structure
18,A.J. Brown,WR,PHI,2,39,,198.4,ESPN ID needed for live data,Manual compilation + ESPN API structure
